"Mineral Name","Mineral Name (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)"
"Fluor-buergerite","Fluor-buergerite","NaFe^3+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_O_3_F","NaFe^3+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_O_3_F"
"Fluorcalciobritholite","Fluorcalciobritholite","(Ca,Ce^3+^)_5_(SiO_4_,PO_4_)_3_F","(Ca,REE)_5_(SiO_4_,PO_4_)_3_F"
"Fluorcalciomicrolite","Fluorcalciomicrolite","(Ca,Na)_2_Ta^5+^_2_O_6_F","(Ca,Na,[box])_2_Ta_2_O_6_F"
"Fluorcalciopyrochlore","Fluorcalciopyrochlore","(Ca,Na)_2_(Nb^5+^,Ti^4+^)_2_O_6_F","(Ca,Na)_2_(Nb,Ti)_2_O_6_F"
"Fluorcalcioroméite","Fluorcalcioromeite","(Ca,Na)_2_Sb^5+^_2_O_6_F","(Ca,Na)_2_Sb^5+^_2_O_6_F"
"Fluorcanasite","Fluorcanasite","K_3_Na_3_Ca_5_Si_12_O_30_F_4_·H_2_O","K_3_Na_3_Ca_5_Si_12_O_30_F_4_·H_2_O"
"Fluorcaphite","Fluorcaphite","SrCaCa_3_(PO_4_)_3_F","SrCaCa_3_(PO_4_)_3_F"
"Fluorcarmoite-(BaNa)","Fluorcarmoite-(BaNa)","Ba[box]Na_2_Na_2_[box]CaMg_13_Al(PO_4_)_11_(PO_3_OH)F_2_","Ba[box]Na_2_Na_2_[box]CaMg_13_Al(PO_4_)_11_(PO_3_OH)F_2_"
"Fluorchegemite","Fluorchegemite","Ca_7_(SiO_4_)_3_F_2_","Ca_7_(SiO_4_)_3_F_2_"
"Fluor-dravite","Fluor-dravite","NaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","NaMg_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F"
"Fluor-elbaite","Fluor-elbaite","Na(Li_1.5_Al_1.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","Na(Li_1.5_Al_1.5_)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F"
"Fluorellestadite","Fluorellestadite","Ca_5_(SiO_4_)_1.5_(S^6+^O_4_)_1.5_F","Ca_5_(SiO_4_)_1.5_(SO_4_)_1.5_F"
"Fluorite","Fluorite","CaF_2_","CaF_2_"
"Fluorkyuygenite","Fluorkyuygenite","Ca_12_Al_14_O_32_[(H_2_O)_4_F_2_]","Ca_12_Al_14_O_32_[(H_2_O)_4_F_2_]"
"Fluorlamprophyllite","Fluorlamprophyllite","(SrNa)Ti^4+^_2_Na_3_Ti^4+^(Si_2_O_7_)_2_O_2_F_2_","(SrNa)Ti_2_Na_3_Ti(Si_2_O_7_)_2_O_2_F_2_"
"Fluor-liddicoatite","Fluor-liddicoatite","Ca(Li_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","Ca(Li_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F"
"Fluormayenite","Fluormayenite","Ca_12_Al_14_O_32_[[box]_4_F_2_]","Ca_12_Al_14_O_32_[[box]_4_F_2_]"
"Fluornatrocoulsellite","Fluornatrocoulsellite","(Na_1.5_Ca_0.5_)(Mg_1.5_Al_0.5_)F_6_F","(Na_1.5_Ca_0.5_)(Mg_1.5_Al_0.5_)F_6_F"
"Fluornatromicrolite","Fluornatromicrolite","(Na_1.5_Bi^3+^_0.5_)Ta^5+^_2_O_6_F","(Na_1.5_Bi_0.5_)Ta_2_O_6_F"
"Fluornatropyrochlore","Fluornatropyrochlore","(Na,Pb^2+^,Ca,REE^3+^,U^6+^)_2_Nb^5+^_2_O_6_F","(Na,Pb,Ca,REE,U)_2_Nb_2_O_6_F"
"Fluoro-cannilloite","Fluoro-cannilloite","CaCa_2_(Mg_4_Al)(Si_5_Al_3_)O_22_F_2_","CaCa_2_(Mg_4_Al)(Si_5_Al_3_)O_22_F_2_"
"Fluorocronite","Fluorocronite","Pb^2+^F_2_","PbF_2_"
"Fluoro-edenite","Fluoro-edenite","NaCa_2_Mg_5_(Si_7_Al)O_22_F_2_","NaCa_2_Mg_5_(Si_7_Al)O_22_F_2_"
"Fluorokinoshitalite","Fluorokinoshitalite","BaMg_3_Al_2_Si_2_O_10_F_2_","BaMg_3_Al_2_Si_2_O_10_F_2_"
"Fluoro-leakeite","Fluoro-leakeite","NaNa_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_","NaNa_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_"
"Fluoro-nybøite","Fluoro-nyboite","NaNa_2_(Mg_3_Al_2_)(Si_7_Al)O_22_F_2_","NaNa_2_(Mg_3_Al_2_)(Si_7_Al)O_22_F_2_"
"Fluoro-pargasite","Fluoro-pargasite","NaCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_F_2_","NaCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_F_2_"
"Fluoro-pedrizite","Fluoro-pedrizite","NaLi_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_","NaLi_2_(Mg_2_Al_2_Li)Si_8_O_22_F_2_"
"Fluorophlogopite","Fluorophlogopite","KMg_3_(Si_3_Al)O_10_F_2_","KMg_3_(Si_3_Al)O_10_F_2_"
"Fluoro-richterite","Fluoro-richterite","Na(NaCa)Mg_5_Si_8_O_22_F_2_","Na(NaCa)Mg_5_Si_8_O_22_F_2_"
"Fluoro-riebeckite","Fluoro-riebeckite","[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_F_2_","[box]Na_2_(Fe^2+^_3_Fe^3+^_2_)Si_8_O_22_F_2_"
"Fluoro-taramite","Fluoro-taramite","Na(NaCa)(Mg_3_Al_2_)(Si_6_Al_2_)O_22_F_2_","Na(NaCa)(Mg_3_Al_2_)(Si_6_Al_2_)O_22_F_2_"
"Fluorotetraferriphlogopite","Fluorotetraferriphlogopite","KMg_3_Fe^3+^Si_3_O_10_F_2_","KMg_3_Fe^3+^Si_3_O_10_F_2_"
"Fluoro-tremolite","Fluoro-tremolite","[box]Ca_2_Mg_5_Si_8_O_22_F_2_","[box]Ca_2_Mg_5_Si_8_O_22_F_2_"
"Fluorowardite","Fluorowardite","NaAl_3_(PO_4_)_2_F_2_(OH)_2_·2H_2_O","NaAl_3_(PO_4_)_2_(OH)_2_F_2_·2H_2_O"
"Fluorphosphohedyphane","Fluorphosphohedyphane","Ca_2_Pb^2+^_3_(PO_4_)_3_F","Ca_2_Pb_3_(PO_4_)_3_F"
"Fluor-schorl","Fluor-schorl","NaFe^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","NaFe^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F"
"Fluorstrophite","Fluorstrophite","SrCaSr_3_(PO_4_)_3_F","SrCaSr_3_(PO_4_)_3_F"
"Fluor-tsilaisite","Fluor-tsilaisite","NaMn^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","NaMn^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_F"
"Fluor-uvite","Fluor-uvite","CaMg_3_(Al_5_Mg)(Si_6_O_18_)(BO_3_)_3_(OH)_3_F","CaMg_3_(Al_5_Mg)(Si_6_O_18_)(BO_3_)_3_(OH)_3_F"
"Fluorvesuvianite","Fluorvesuvianite","Ca_19_(Al,Mg)_13_(SiO_4_)_10_(Si_2_O_7_)_4_O(F,OH)_9_","Ca_19_(Al,Mg)_13_(SiO_4_)_10_(Si_2_O_7_)_4_O(F,OH)_9_"
"Fluorwavellite","Fluorwavellite","Al_3_(PO_4_)_2_(OH)_2_F·5H_2_O","Al_3_(PO_4_)_2_(OH)_2_F·5H_2_O"
"Flurlite","Flurlite","Zn^2+^Zn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O","Zn^2+^Zn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O"
"Foggite","Foggite","CaAlPO_4_(OH)_2_·H_2_O","CaAl(PO_4_)(OH)_2_·H_2_O"
"Fogoite-(Y)","Fogoite-(Y)","Ca_2_Y^3+^_2_Na_3_Ti^4+^(Si_2_O_7_)_2_(OF)F_2_","Ca_2_Y_2_Na_3_Ti(Si_2_O_7_)_2_(OF)F_2_"
"Foitite","Foitite","[box](Fe^2+^_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH","[box](Fe^2+^_2_Al)Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_(OH)"
"Folvikite","Folvikite","Sb^5+^Mn^3+^(Mg,Mn^2+^)_10_O_8_(BO_3_)_4_","Sb^5+^Mn^3+^(Mg,Mn^2+^)_10_O_8_(BO_3_)_4_"
"Fontanite","Fontanite","Ca(U^6+^O_2_)_3_(CO_3_)_2_O_2_·6H_2_O","Ca(UO_2_)_3_(CO_3_)_2_O_2_·6H_2_O"
"Fontarnauite","Fontarnauite","(Na,K)_2_(Sr,Ca)(S^6+^O_4_)[B_5_O_8_(OH)]·2H_2_O","(Na,K)_2_(Sr,Ca)(SO_4_)[B_5_O_8_(OH)](H_2_O)_2_"
"Foordite","Foordite","Sn^2+^Nb^5+^_2_O_6_","Sn^2+^Nb_2_O_6_"
"Footemineite","Footemineite","Ca_2_Mn^2+^_5_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O","Ca_2_Mn^2+^_5_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O"
"Forêtite","Foretite","Cu^2+^_2_Al_2_(As^5+^O_4_)(OH,O,H_2_O)_6_","Cu_2_Al_2_(AsO_4_)(OH,O,H_2_O)_6_"
"Formanite-(Y)","Formanite-(Y)","Y^3+^Ta^5+^O_4_","YTaO_4_"
"Formicaite","Formicaite","Ca(CHOO)_2_","Ca(CHOO)_2_"
"Fornacite","Fornacite","Cu^2+^Pb^2+^_2_(Cr^6+^O_4_)(As^5+^O_4_)(OH)","CuPb_2_(CrO_4_)(AsO_4_)(OH)"
"Forsterite","Forsterite","Mg_2_SiO_4_","Mg_2_(SiO_4_)"
"Foshagite","Foshagite","Ca_4_(SiO_3_)_3_(OH)_2_","Ca_4_(SiO_3_)_3_(OH)_2_"
"Fougèrite","Fougerite","Fe^2+^_4_Fe^3+^_2_(OH)_12_(CO_3_)·3H_2_O","Fe^2+^_4_Fe^3+^_2_(OH)_12_(CO_3_)·3H_2_O"
"Fourmarierite","Fourmarierite","Pb^2+^_1-x_O_3-2x_(U^6+^O_2_)_4_(OH)_4+2x_·4H_2_O","Pb_1-x_O_3-2x_(UO_2_)_4_(OH)_4+2x_·4H_2_O"
"Fowlerite","Fowlerite","(Mn^2+^,Zn^2+^)SiO_3_","(Mn,Zn)SiO_3_"
"Fraipontite","Fraipontite","(Zn^2+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_","(Zn,Al)_3_(Si,Al)_2_O_5_(OH)_4_"
"Francevillite","Francevillite","Ba(U^6+^O_2_)_2_(V^5+^O_4_)_2_·5H_2_O","Ba(UO_2_)_2_(VO_4_)_2_·5H_2_O"
"Franciscanite","Franciscanite","Mn^2+^_6_(V^5+^[box])(SiO_4_)_2_O_3_(OH)_3_","Mn^2+^_6_(V^5+^[box])(SiO_4_)_2_O_3_(OH)_3_"
"Francisite","Francisite","Cu^2+^_3_Bi^3+^(Se^4+^O_3_)_2_O_2_Cl","Cu_3_Bi(Se^4+^O_3_)_2_O_2_Cl"
"Franckeite","Franckeite","Pb_21.7_Sn_9.3_Fe_4.0_Sb_8.1_S_56.9_","Pb_21.7_Sn_9.3_Fe_4.0_Sb_8.1_S_56.9_"
"Francoanellite","Francoanellite","K_3_Al_5_(PO_3_OH)_6_(PO_4_)_2_·12H_2_O","K_3_Al_5_(PO_3_OH)_6_(PO_4_)_2_·12H_2_O"
"Françoisite-(Ce)","Francoisite-(Ce)","Ce^3+^(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·6H_2_O","Ce(UO_2_)_3_O(OH)(PO_4_)_2_·6H_2_O"
"Françoisite-(Nd)","Francoisite-(Nd)","Nd^3+^(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·6H_2_O","Nd(UO_2_)_3_O(OH)(PO_4_)_2_·6H_2_O"
"Franconite","Franconite","NaNb^5+^_2_O_5_(OH)·3H_2_O","NaNb_2_O_5_(OH)·3H_2_O"
"Frankamenite","Frankamenite","K_3_Na_3_Ca_5_Si_12_O_30_(F,OH)_4_·H_2_O","K_3_Na_3_Ca_5_Si_12_O_30_(F,OH)_4_·H_2_O"
"Frankdicksonite","Frankdicksonite","BaF_2_","BaF_2_"
"Frankhawthorneite","Frankhawthorneite","Cu^2+^_2_Te^6+^O_4_(OH)_2_","Cu_2_Te^6+^O_4_(OH)_2_"
"Franklinfurnaceite","Franklinfurnaceite","Ca_2_Mn^2+^_3_Mn^3+^Fe^3+^Zn^2+^_2_Si_2_O_10_(OH)_8_","Ca_2_Mn^2+^_3_Mn^3+^Fe^3+^Zn_2_Si_2_O_10_(OH)_8_"
"Franklinite","Franklinite","Zn^2+^Fe^3+^_2_O_4_","ZnFe^3+^_2_O_4_"
"Franklinphilite","Franklinphilite","(K,Na)_4_(Mn^2+^,Mg,Zn^2+^)_48_(Si,Al)_72_(O,OH)_216_·6H_2_O","(K,Na)_4_(Mn^2+^,Mg,Zn)_48_(Si,Al)_72_(O,OH)_216_·6H_2_O"
"Fransoletite","Fransoletite","Ca_3_Be_2_(PO_4_)_2_(PO_3_OH)_2_·4H_2_O","Ca_3_Be_2_(PO_4_)_2_(PO_3_OH)_2_·4H_2_O"
"Franzinite","Franzinite","(Na,K)_30_Ca_10_(Si_30_Al_30_)O_120_(S^6+^O_4_)_10_·2H_2_O","(Na,K)_30_Ca_10_(Si_30_Al_30_)O_120_(SO_4_)_10_·2H_2_O"
"Freboldite","Freboldite","CoSe","CoSe"
"Fredrikssonite","Fredrikssonite","Mg_2_Mn^3+^O_2_(BO_3_)","Mg_2_Mn^3+^O_2_(BO_3_)"
"Freedite","Freedite","Cu^1+^Pb^2+^_8_(As^3+^O_3_)_2_O_3_Cl_5_","Cu^1+^Pb_8_(As^3+^O_3_)_2_O_3_Cl_5_"
"Freibergite","Freibergite","Ag^1+^_6_[Cu^1+^_4_Fe^2+^_2_]Sb^3+^_4_S^2-^_12_","Ag_6_[Cu_4_Fe_2_]Sb_4_S_12_"
"Freieslebenite","Freieslebenite","AgPbSbS_3_","AgPbSbS_3_"
"Fresnoite","Fresnoite","Ba_2_Ti^4+^O(Si_2_O_7_)","Ba_2_TiO(Si_2_O_7_)"
"Freudenbergite","Freudenbergite","Na(Ti^4+^_3_Fe^3+^)O_8_","Na(Ti^4+^_3_Fe^3+^)O_8_"
"Friedelite","Friedelite","Mn^2+^_8_Si_6_O_15_(OH)_10_","Mn^2+^_8_Si_6_O_15_(OH)_10_"
"Friedrichbeckeite","Friedrichbeckeite","K([box]Na)Mg_2_(MgBe_2_Si_12_)O_30_","K([box]Na)Mg_2_(Be_2_Mg)Si_12_O_30_"
"Friedrichite","Friedrichite","Cu_5_Pb_5_Bi_7_S_18_","Cu_5_Pb_5_Bi_7_S_18_"
"Fritzscheite","Fritzscheite","Mn^2+^(U^6+^O_2_)_2_(V^5+^O_4_,P^5+^O_4_)_2_·4H_2_O","Mn^2+^(UO_2_)_2_(VO_4_,PO_4_)_2_·4H_2_O"
"Frohbergite","Frohbergite","FeTe_2_","FeTe_2_"
"Frolovite","Frolovite","Ca[B(OH)_4_]_2_","Ca[B(OH)_4_]_2_"
"Frondelite","Frondelite","(Mn^2+^_0.5_Fe^3+^_0.5_)_2_Fe^3+^_3_(PO_4_)_3_(OH)_5_","(Mn^2+^_0.5_Fe^3+^_0.5_)_2_Fe^3+^_3_(PO_4_)_3_(OH)_5_"
"Froodite","Froodite","PdBi_2_","PdBi_2_"
"Fuenzalidaite","Fuenzalidaite","K_3_Na_5_Mg_5_(I^5+^O_3_)_6_(S^6+^O_4_)_6_·6H_2_O","K_3_Na_5_Mg_5_(IO_3_)_6_(SO_4_)_6_·6H_2_O"
"Fuettererite","Fuettererite","Pb^2+^_3_Cu^2+^_6_Te^6+^O_6_(OH)_7_Cl^1-^_5_","Pb_3_Cu^2+^_6_Te^6+^O_6_(OH)_7_Cl_5_"
"Fukalite","Fukalite","Ca_4_Si_2_O_6_(CO_3_)(OH)_2_","Ca_4_Si_2_O_6_(CO_3_)(OH)_2_"
"Fukuchilite","Fukuchilite","Cu^2+^_3_Fe^2+^(S_2_)^2-^_4_","Cu_3_FeS_8_"
"Fülöppite","Fuloppite","Pb_3_Sb_8_S_15_","Pb_3_Sb_8_S_15_"
"Furongite","Furongite","Al_13_(U^6+^O_2_)_7_(PO_4_)_13_(OH)_14_·58H_2_O","Al_4_(UO_2_)_4_(PO_4_)_6_(OH)_2_(H_2_O)_19.5_"
"Furutobeite","Furutobeite","(Cu,Ag)_6_PbS_4_","(Cu,Ag)_6_PbS_4_"
"Gabrielite","Gabrielite","Tl_2_AgCu_2_As_3_S_7_","Tl_2_AgCu_2_As_3_S_7_"
"Gabrielsonite","Gabrielsonite","Pb^2+^Fe^3+^(As^3+^O_3_)O","PbFe^3+^(AsO_3_)O"
"Gadolinite-(Ce)","Gadolinite-(Ce)","Fe^2+^Be_2_Ce^3+^_2_(SiO_4_)_2_O_2_","Ce_2_Fe^2+^Be_2_O_2_(SiO_4_)_2_"
"Gadolinite-(Nd)","Gadolinite-(Nd)","Nd^3+^_2_Fe^2+^Be_2_O_2_(SiO_4_)_2_","Nd_2_Fe^2+^Be_2_O_2_(SiO_4_)_2_"
"Gadolinite-(Y)","Gadolinite-(Y)","Fe^2+^Be_2_Y^3+^_2_(SiO_4_)_2_O_2_","Y_2_Fe^2+^Be_2_O_2_(SiO_4_)_2_"
"Gagarinite-(Ce)","Gagarinite-(Ce)","NaCaCe^3+^F_6_","NaCaCeF_6_"
"Gagarinite-(Y)","Gagarinite-(Y)","NaCaY^3+^F_6_","NaCaYF_6_"
"Gageite","Gageite","Mn^2+^_21_Si_8_O_27_(OH)_20_","Mn^2+^_21_Si_8_O_27_(OH)_20_"
"Gahnite","Gahnite","Zn^2+^Al_2_O_4_","ZnAl_2_O_4_"
"Gaidonnayite","Gaidonnayite","Na_2_Zr^4+^Si_3_O_9_·2H_2_O","Na_2_ZrSi_3_O_9_·2H_2_O"
"Gaildunningite","Gaildunningite","Hg^2+^_3_[NHg^2+^_2_]_18_(Cl,I)_24_","Hg^2+^_3_[NHg^2+^_2_]_18_(Cl,I)_24_"
"Gainesite","Gainesite","Na_2_(Be,Li)Zr^4+^_2_(PO_4_)_4_·1.5H_2_O","Na_2_(Be,Li)Zr_2_(PO_4_)_4_·1.5H_2_O"
"Gaitite","Gaitite","Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_·2H_2_O","Ca_2_Zn(AsO_4_)_2_·2H_2_O"
"Gajardoite","Gajardoite","KCa_0.5_As^3+^_4_O_6_Cl_2_·5H_2_O","KCa_0.5_As^3+^_4_O_6_Cl_2_·5H_2_O"
"Galaxite","Galaxite","Mn^2+^Al_2_O_4_","Mn^2+^Al_2_O_4_"
"Galeite","Galeite","Na_15_(S^6+^O_4_)_5_ClF_4_","Na_15_(SO_4_)_5_ClF_4_"
"Galena","Galena","Pb^2+^S^2-^","PbS"
"Galenobismutite","Galenobismutite","PbBi_2_S_4_","PbBi_2_S_4_"
"Galgenbergite-(Ce)","Galgenbergite-(Ce)","CaCe^3+^_2_(CO_3_)_4_·H_2_O","CaCe_2_(CO_3_)_4_·H_2_O"
"Galileiite","Galileiite","NaFe^2+^_4_(PO_4_)_3_","NaFe^2+^_4_(PO_4_)_3_"
"Galkhaite","Galkhaite","(Hg^2+^_5_Cu^1+^)Cs^1+^As^3+^_4_S^2-^_12_","(Hg_5_Cu)CsAs_4_S_12_"
"Galliskiite","Galliskiite","Ca_4_Al_2_(PO_4_)_2_F_8_·5H_2_O","Ca_4_Al_2_(PO_4_)_2_F_8_·5H_2_O"
"Gallite","Gallite","Cu^1+^Ga^3+^S^2-^_2_","CuGaS_2_"
"Gallobeudantite","Gallobeudantite","Pb^2+^Ga^3+^_3_(As^5+^O_4_)(S^6+^O_4_)(OH)_6_","PbGa_3_(AsO_4_)(SO_4_)(OH)_6_"
"Galloplumbogummite","Galloplumbogummite","Pb(Ga,Al)_2_Ge(PO_4_)_2_(OH)_6_","Pb(Ga,Al,Ge)_3_(PO_4_)_2_(OH)_6_"
"Galuskinite","Galuskinite","Ca_7_(SiO_4_)_3_(CO_3_)","Ca_7_(SiO_4_)_3_(CO_3_)"
"Gamagarite","Gamagarite","Ba_2_Fe^3+^(V^5+^O_4_)_2_(OH)","Ba_2_Fe^3+^(VO_4_)_2_(OH)"
"Gananite","Gananite","Bi^3+^F_3_","BiF_3_"
"Ganomalite","Ganomalite","Pb^2+^_3_Ca_2_(SiO_4_)(Si_2_O_7_)","Pb_9_Ca_6_(Si_2_O_7_)_4_(SiO_4_)O"
"Ganophyllite","Ganophyllite","(K,Na)_1-2_Mn^2+^_6_(Si,Al)_10_O_24_(OH)_4_·7-11H_2_O","(K,Na)_x_Mn^2+^_6_(Si,Al)_10_O_24_(OH)_4_·nH_2_O (x = 1-2; n = 7-11)"
"Ganterite","Ganterite","Ba_0.5_(Na,K)_0.5_Al_2_(Si_2.5_Al_1.5_)O_10_(OH)_2_","Ba_0.5_(Na,K)_0.5_Al_2_(Si_2.5_Al_1.5_)O_10_(OH)_2_"
"Gaotaiite","Gaotaiite","Ir_3_Te_8_","Ir_3_Te_8_"
"Garavellite","Garavellite","Fe^2+^Sb^3+^Bi^3+^S^2-^_4_","FeSbBiS_4_"
"Garmite","Garmite","CsLiMg_2_(Si_4_O_10_)F_2_","CsLiMg_2_(Si_4_O_10_)F_2_"
"Garrelsite","Garrelsite","NaBa_3_B_7_Si_2_O_16_(OH)_4_","NaBa_3_B_7_Si_2_O_16_(OH)_4_"
"Garronite-Ca","Garronite-Ca","NaCa_2.5_(Si_10_Al_6_)O_32_·14H_2_O","Ca_3_(Al_6_Si_10_O_32_)·14H_2_O"
"Garronite-Na","Garronite-Na","Na_6_(Al_6_Si_10_O_32_)·8.5H_2_O","Na_6_(Al_6_Si_10_O_32_)·8.5H_2_O"
"Gartrellite","Gartrellite","Pb^2+^Cu^2+^Fe^3+^(As^5+^O_4_)_2_(OH)·H_2_O","PbCuFe^3+^(AsO_4_)_2_(OH)·H_2_O"
"Garutiite","Garutiite","(Ni,Fe,Ir)","(Ni,Fe,Ir)"
"Garyansellite","Garyansellite","Mg_2_Fe^3+^(PO_4_)_2_(OH)·2H_2_O","Mg_2_Fe^3+^(PO_4_)_2_(OH)·2H_2_O"
"Gasparite-(Ce)","Gasparite-(Ce)","Ce^3+^As^5+^O_4_","Ce(AsO_4_)"
"Gasparite-(La)","Gasparite-(La)","La^3+^(As^5+^O_4_)","La(AsO_4_)"
"Gaspéite","Gaspeite","Ni^2+^CO_3_","Ni(CO_3_)"
"Gatedalite","Gatedalite","Zr^4+^Mn^2+^_2_Mn^3+^_4_SiO_12_","ZrMn^2+^_2_Mn^3+^_4_O_8_(SiO_4_)"
"Gatehouseite","Gatehouseite","Mn^2+^_5_(PO_4_)_2_(OH)_4_","Mn^2+^_5_(PO_4_)_2_(OH)_4_"
"Gatelite-(Ce)","Gatelite-(Ce)","(Ca,Ce^3+^)_4_(Al,Mg,Fe^2+^)_4_(Si_2_O_7_)(SiO_4_)_3_(O,F,OH)_3_","(Ca,Ce)_4_(Al,Mg,Fe)_4_(Si_2_O_7_)(SiO_4_)_3_(O,F,OH)_3_"
"Gatewayite","Gatewayite","Ca_6_(As^3+^V^4+^_3_V^5+^_9_As^5+^_6_O_51_)·31H_2_O","Ca_6_(As^3+^V^4+^_3_V^5+^_9_As^5+^_6_O_51_)·31H_2_O"
"Gatumbaite","Gatumbaite","CaAl_2_(PO_4_)_2_(OH)_2_·H_2_O","CaAl_2_(PO_4_)_2_(OH)_2_·H_2_O"
"Gaudefroyite","Gaudefroyite","Ca_4_Mn^3+^_3_(BO_3_)_3_(CO_3_)O_3_","Ca_4_Mn^3+^_3_(BO_3_)_3_(CO_3_)O_3_"
"Gaultite","Gaultite","Na_4_Zn^2+^_2_Si_7_O_18_·5H_2_O","Na_4_Zn_2_Si_7_O_18_·5H_2_O"
"Gauthierite","Gauthierite","KPb^2+^[(U^6+^O_2_)_7_O_5_(OH)_7_]·8H_2_O","KPb[(UO_2_)_7_O_5_(OH)_7_]·8H_2_O"
"Gayite","Gayite","NaMn^2+^Fe^3+^_5_(PO_4_)_4_(OH)_6_·2H_2_O","NaMnFe_5_(PO_4_)_4_(OH)_6_·2H_2_O"
"Gaylussite","Gaylussite","Na_2_Ca(CO_3_)_2_·5H_2_O","Na_2_Ca(CO_3_)_2_·5H_2_O"
"Gazeevite","Gazeevite","BaCa_6_(SiO_4_)_2_(S^6+^O_4_)_2_O","BaCa_6_(SiO_4_)_2_(SO_4_)_2_O"
"Gearksutite","Gearksutite","CaAlF_4_(OH)·H_2_O","CaAlF_4_(OH)·H_2_O"
"Gebhardite","Gebhardite","Pb^2+^_8_As^3+^_4_O_11_Cl_6_","Pb_8_As^3+^_4_O_11_Cl_6_"
"Gedrite","Gedrite","[box]Mg_2_(Mg_3_Al_2_)(Si_6_Al_2_)O_22_(OH)_2_","[box]Mg_2_(Mg_3_Al_2_)(Si_6_Al_2_)O_22_(OH)_2_"
"Geerite","Geerite","Cu_8_S_5_","Cu_8_S_5_"
"Geffroyite","Geffroyite","(Cu,Fe,Ag)_9_Se_8_","(Cu,Fe,Ag)_9_Se_8_"
"Gehlenite","Gehlenite","Ca_2_Al(SiAl)O_7_","Ca_2_Al(SiAl)O_7_"
"Geigerite","Geigerite","Mn^2+^_5_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·10H_2_O","Mn^2+^_5_(AsO_4_)_2_(AsO_3_OH)_2_·10H_2_O"
"Geikielite","Geikielite","MgTi^4+^O_3_","MgTiO_3_"
"Gelosaite","Gelosaite","Bi^3+^Mo^6+^_(2-5x)_Mo^5+^_6x_O_7_(OH)·H_2_O (0≤x≤0.4)","BiMo^6+^_(2-5x)_Mo^5+^_6x_O_7_(OH)·H_2_O (0 < x < 0.4)"
"Geminite","Geminite","Cu^2+^(As^5+^O_3_OH)·H_2_O","Cu^2+^(AsO_3_OH)·H_2_O"
"Gengenbachite","Gengenbachite","KFe^3+^_3_(H_2_P^5+^O_4_)_2_(HP^5+^O_4_)_4_·6H_2_O","KFe_3_(H_2_PO_4_)_2_(HPO_4_)_4_·6H_2_O"
"Genkinite","Genkinite","Pt_4_Sb_3_","Pt_4_Sb_3_"
"Genplesite","Genplesite","Ca_3_Sn^4+^(S^6+^O_4_)_2_(OH)_6_·3H_2_O","Ca_3_Sn(SO_4_)_2_(OH)_6_·3H_2_O"
"Genthelvite","Genthelvite","Be_3_Zn^2+^_4_(SiO_4_)_3_S^2-^","Be_3_Zn_4_(SiO_4_)_3_S"
"Geocronite","Geocronite","Pb^2+^_14_(Sb^3+^,As^3+^)_6_S^2-^_23_","Pb_14_(Sb,As)_6_S_23_"
"Georgbarsanovite","Georgbarsanovite","Na_12_(Mn^2+^,Sr)_3_Ca_6_Fe^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_76_Cl_2_·H_2_O","Na_12_(Mn,Sr,REE)_3_Ca_6_Fe^2+^_3_Zr_3_NbSi_25_O_76_Cl_2_·H_2_O"
"Georgbokiite","Georgbokiite","Cu^2+^_5_O_2_(Se^4+^O_3_)_2_Cl_2_","Cu_5_O_2_(Se^4+^O_3_)_2_Cl_2_"
